FECHAINGRESO	CODIGO	DESCRIPCION	CAPITULO	DESCRIPCIONCAPITULO	PARTIDA	DESCRIPCIONPARTIDA	SUBPARTIDA	NECESITACODIGOARANCEL	MERCANCIAPELIGROSA	
2024/05/21 13:48:17	220890	ALCOHOL ETÍLICO SIN DESNATURALIZAR CON GRADO ALCOHÓLICO VOLUMÉTRICO INFERIOR AL 80% VOL	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	08	ALCOHOL ETILICO SIN DESNATURALIZAR CON UN GRADO ALCOHOLICO VOLUMETRICO INFERIOR A 80% VOL; AGUARDIENTES. LICORES Y DEMAS BEBIDAS ESPIRITUOSAS; PREPARACIONES ALCOHOLICAS COMPUESTAS DEL TIPO DE LAS UTILIZADAS PARA LA ELABORACION DE BEBIDAS.	90	.	 	
2024/05/21 13:47:03	220870	LICORES DE ANIS	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	08	ALCOHOL ETILICO SIN DESNATURALIZAR CON UN GRADO ALCOHOLICO VOLUMETRICO INFERIOR A 80% VOL; AGUARDIENTES. LICORES Y DEMAS BEBIDAS ESPIRITUOSAS; PREPARACIONES ALCOHOLICAS COMPUESTAS DEL TIPO DE LAS UTILIZADAS PARA LA ELABORACION DE BEBIDAS.	70	.	 	
2024/05/21 13:46:46	220860	VODKA	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	08	ALCOHOL ETILICO SIN DESNATURALIZAR CON UN GRADO ALCOHOLICO VOLUMETRICO INFERIOR A 80% VOL; AGUARDIENTES. LICORES Y DEMAS BEBIDAS ESPIRITUOSAS; PREPARACIONES ALCOHOLICAS COMPUESTAS DEL TIPO DE LAS UTILIZADAS PARA LA ELABORACION DE BEBIDAS.	60	.	 	
2024/05/21 13:46:32	220850	GIN Y GINEBRA	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	08	ALCOHOL ETILICO SIN DESNATURALIZAR CON UN GRADO ALCOHOLICO VOLUMETRICO INFERIOR A 80% VOL; AGUARDIENTES. LICORES Y DEMAS BEBIDAS ESPIRITUOSAS; PREPARACIONES ALCOHOLICAS COMPUESTAS DEL TIPO DE LAS UTILIZADAS PARA LA ELABORACION DE BEBIDAS.	50	.	 	
2024/05/21 13:46:13	220840	RON Y DEMÁS AGUARDIENTES PROCEDENTES DE LA DESTILACIÓN, PREVIA FERMENTACIÓN, DE PRODUCTOS DE LA CAÑA DE AZUCAR	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	08	ALCOHOL ETILICO SIN DESNATURALIZAR CON UN GRADO ALCOHOLICO VOLUMETRICO INFERIOR A 80% VOL; AGUARDIENTES. LICORES Y DEMAS BEBIDAS ESPIRITUOSAS; PREPARACIONES ALCOHOLICAS COMPUESTAS DEL TIPO DE LAS UTILIZADAS PARA LA ELABORACION DE BEBIDAS.	40	.	 	
2024/05/21 13:45:09	220830	WHISKY	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	08	ALCOHOL ETILICO SIN DESNATURALIZAR CON UN GRADO ALCOHOLICO VOLUMETRICO INFERIOR A 80% VOL; AGUARDIENTES. LICORES Y DEMAS BEBIDAS ESPIRITUOSAS; PREPARACIONES ALCOHOLICAS COMPUESTAS DEL TIPO DE LAS UTILIZADAS PARA LA ELABORACION DE BEBIDAS.	30	.	 	
2024/05/21 13:44:47	220820	AGUARDIENTE DE UVA (PISCO Y SIMILARES)	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	08	ALCOHOL ETILICO SIN DESNATURALIZAR CON UN GRADO ALCOHOLICO VOLUMETRICO INFERIOR A 80% VOL; AGUARDIENTES. LICORES Y DEMAS BEBIDAS ESPIRITUOSAS; PREPARACIONES ALCOHOLICAS COMPUESTAS DEL TIPO DE LAS UTILIZADAS PARA LA ELABORACION DE BEBIDAS.	20	.	 	
2024/05/21 13:44:00	220600	LAS DEMÁS BEBIDAS FERMENTADAS (POR EJEMPLO: SIDRA, PERADA, AGUAMIEL); MEZCLAS DE BEBIDAS FERMENTADAS Y MEZCLAS DE BEBIDAS FERMENTADAS Y BEBIDAS NO ALCOHOLICAS, NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	06	LAS DEMAS BEBIDAS FERMENTADAS (POR EJEMPLO: SIDRA, PERADA, AGUAMIEL);MEZCLAS DE BEBIDAS FERMENTADAS Y MEZCLAS DE BEBIDAS FERMENTADAS Y BEBIDAS NO ALCOHOLICAS, NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE.	00	.	 	
2024/05/21 13:40:57	220590	LOS DEMÁS VINOS DE UVAS FRESCAS, PREPARADOS CON PLANTAS O SUSTANCIAS AROMÁTICAS	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	05	VERMUT Y DEMAS VINOS DE UVAS FRESCAS PREPARADOS CON PLANTAS O SUSTANCIAS AROMATI	90	.	 	
2024/05/21 13:39:43	220510	VERMUTS Y DEMAS VINOS EN RECIPIENTES CON CAPACIDAD INFERIOR O IGUAL A 2 LITROS	22	BEBIDAS; LÍQUIDOS ALCOHÓLICOS Y VINAGRE	05	VERMUT Y DEMAS VINOS DE UVAS FRESCAS PREPARADOS CON PLANTAS O SUSTANCIAS AROMATI	10	.	 	
